"YEAR","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2023,"mobile_phone_use","Police issued",29,0,0
2023,"mobile_phone_use","Police issued",29,0,0
2023,"mobile_phone_use","Police issued",29,0,1
2023,"mobile_phone_use","Police issued",30,0,0
2023,"mobile_phone_use","Police issued",30,0,0
2023,"mobile_phone_use","Police issued",31,0,0
2023,"mobile_phone_use","Police issued",32,0,0
2023,"mobile_phone_use","Police issued",32,0,2
2023,"mobile_phone_use","Police issued",33,0,0
2023,"mobile_phone_use","Police issued",33,0,0
2023,"mobile_phone_use","Police issued",34,0,0
2023,"mobile_phone_use","Police issued",34,0,0
2023,"mobile_phone_use","Police issued",34,0,6
2023,"mobile_phone_use","Police issued",35,0,0
2023,"mobile_phone_use","Police issued",35,0,0
2023,"mobile_phone_use","Police issued",35,0,1
2023,"mobile_phone_use","Police issued",35,0,2
2023,"mobile_phone_use","Police issued",36,0,0
2023,"mobile_phone_use","Police issued",36,0,0
2023,"mobile_phone_use","Police issued",37,0,0
2023,"mobile_phone_use","Police issued",37,0,0
2023,"mobile_phone_use","Police issued",38,0,0
2023,"mobile_phone_use","Police issued",38,0,0
2023,"mobile_phone_use","Police issued",38,0,1
2023,"mobile_phone_use","Police issued",39,0,0
2023,"mobile_phone_use","Police issued",39,0,0
2023,"mobile_phone_use","Police issued",40,0,0
2023,"mobile_phone_use","Police issued",40,0,0
2023,"mobile_phone_use","Police issued",41,0,0
2023,"mobile_phone_use","Police issued",41,0,0
2023,"mobile_phone_use","Police issued",42,0,0
2023,"mobile_phone_use","Police issued",42,0,0
2023,"mobile_phone_use","Police issued",42,0,1
2023,"mobile_phone_use","Police issued",43,0,1
2023,"mobile_phone_use","Police issued",43,0,4
2023,"mobile_phone_use","Police issued",43,0,5
2023,"mobile_phone_use","Police issued",44,0,0
2023,"mobile_phone_use","Police issued",44,0,1
2023,"mobile_phone_use","Police issued",44,0,2
2023,"mobile_phone_use","Police issued",47,0,0
2023,"mobile_phone_use","Police issued",47,0,0
2023,"mobile_phone_use","Police issued",47,0,2
2023,"mobile_phone_use","Police issued",48,0,0
2023,"mobile_phone_use","Police issued",48,0,1
2023,"mobile_phone_use","Police issued",49,0,1
2023,"mobile_phone_use","Police issued",50,0,0
2023,"mobile_phone_use","Police issued",50,0,1
2023,"mobile_phone_use","Police issued",51,0,0
2023,"mobile_phone_use","Police issued",51,0,0
2023,"mobile_phone_use","Police issued",51,0,1
2023,"mobile_phone_use","Police issued",52,0,0
2023,"mobile_phone_use","Police issued",53,0,0
2023,"mobile_phone_use","Police issued",53,0,0
2023,"mobile_phone_use","Police issued",54,0,0
2023,"mobile_phone_use","Police issued",54,0,1
2023,"mobile_phone_use","Police issued",54,0,2
2023,"mobile_phone_use","Police issued",55,0,0
2023,"mobile_phone_use","Police issued",55,0,0
